sku,revenue
NR1058-1,46425.26
NR1058-2,34115.27
KIT0066,15780.66
KIT0476,14615.11
NR4043-2,14486.58
GB0277-S,13425.37
NR3873-2,13117.92
NR4043-1,12077.82
NR3377,11902.36
NR1064-1,10256.24
KIT0072,10193.64
NR1064-2,9836.47
NR0851-2,7727.29
NR3511-2,6373.8
GB0728,6164.36
NR2337,6054.46
KIT0161,5867.49
KIT0085,5837.05
NR4322,5571.08
NR1062-2,5010.349999999999
KIT0172,4988.24
NR0479,4903.49
NR3511-1,4873.450000000001
KIT0084,4162.33
NR2644,3908.9
NR1062-1,3490.37
KIT0112,3367.54
NR4177,3366.5299999999997
NR2468,3296.03
NR5432,3264.12
NR4167,3155.76
NR5484-2,2993.79
NR3873-1,2836.74
NR5375,2729.7200000000003
NR5429,2650.98
NR2455,2582.9
NR4398,2575.39
KIT0095,2566.9700000000003
GB2366,2522.33
KIT0524,2454.6899999999996
NR3668-1,2422.45
NR5486,2401.67
KIT0520,2375.67
NR5034-2,2371.0699999999997
NR3503-1,2361.86
NR3668-2,2323.75
KIT0514,2233.81
NR4169,2228.1600000000003
NR3510-1,2172.33
KIT0477,2168.4
GB4986,2161.62
NR5461,2119.4
NR3503-2,2085.17
NR4997,1993.15
NR5529,1973.23
NR2647,1971.49
NR2800-1,1905.5
NR1349,1874.29
KIT0076,1844.62
 ,1829.35
NR5428,1820.04
KIT0151-2,1716.93
KIT0508,1709.06
NR5414-1,1694.49
NR5487,1689.78
NR5364,1668.42
GB0715,1654.05
NR4143-2,1498.36
NR5437-1,1478.26
GB0277,1403.35
NR5445-2,1395.34
NR4678,1387.71
KIT0399,1386.04
KIT0537,1344.03
NR3904-2,1325.4
NR1926,1304.83
CP1525,1288.3
KIT0515,1276.34
NR5380-1,1269.73
NR5034-1,1244.22
KIT0516,1241.32
NR5365,1210.8
NR1423,1184.03
NR5245,1175.8
NR3138,1166.01
NR5380-2,1133.18
KIT0483,1129.52
NR5434,1098.48
NR5361,1084.89
KIT0431,1078.94
NR0851-1,1047.65
NR0650,1042.9
NR0711,1040.18
NR5447,1034.62
NR5689,995.5699999999999
NR5295,988.62
NR5589,986.9499999999999
NR5242-2,965.04
GB0268,955.0699999999999
KIT0466-1,940.73
NR3264,933.53
NR5026,928.88
KIT0388,928.54
NR5690,925.12
KIT0466-2,924.75
NR2387,919.33
NR5020,912.48
NR5415,883.41
NR4917,850.46
NR2874,824.95
NR3878,817.98
NR5363,807.1500000000001
NR4079,801.3900000000001
NR2365-1,801.0699999999999
NR5370,800.25
NR0969,768.03
NR5072,748.07
KIT0530,744.68
NR1866,742.1
NR4557,724.56
KIT0512,718.61
NR4899,708.04
GB0718,706.87
NR5410-2,705.5999999999999
GB3307,704.34
NR3706,691.35
NR2800-2,688.27
NR4321,683.28
NR0562-2,680.78
NR5387,677.35
NR5371-1,669.78
NR2769-2,657.52
KIT0525,655.68
KIT0522,655.68
NR4242-1,650.3
KIT0429,646.5
NR4433,638.44
KIT0519,636.66
NR5378-2,632.05
NR5522-2,630.81
KIT0527,620.66
KIT0526,620.66
KIT0518,620.66
NR5629-2,610.16
NR5523-1,610.15
NR5559,598.69
NR0651,597.85
KIT0380,596.11
NR0787,593.64
GB0840,588.6500000000001
NR5448,585.88
NR2573,582.73
KIT0262,581.2800000000001
NR2841-1,572.96
NR0300,570.3100000000001
NR2758-2,570.11
NR5419,554.6
NR4839-2,553.02
NR0597-1,550.97
KIT0386,544.89
NR5579,543.09
NR3879,539.63
NR3471,535.54
KIT0151-1,532.71
NR4083,529.03
KIT0194-1,516.45
KIT0028,510.32
NR5044,509.65
NR3632,507.19000000000005
NR5449,500.71999999999997
NR3699-1,496.47
KIT0194-2,488.4
KIT0391,482.27
NR0562-1,479.07
NR2717-2,478.63
NR5362,467.53
KIT0387,462.89
NR5224,454.43
KIT0487,454.14
NR0283-1,444.89
NR5360,443.18
NR3818,439.16
NR3821,433.32
NR3342,430.06
NR4943,424.11
NR1929,422.64
NR4544,422.62
NR2025,419.79999999999995
NR4696,417.24
NR5540,417.23
NR2995-2,413.19
KIT0119,409.44000000000005
NR5668,403.37
NR3510-2,401.09
NR4357,398.59
NR5032,395.12
NR4766,392.42
NR2864-2,391.63
NR0332,391.21
NR0866,387.2
NR4240,386.37
NR3866,383.51
NR5154,383.47
NR5542,379.64
NR5590-2,378.35
NR1735-1,376.34
NR2876,371.9
NR1924,371.09
NR5496,370.54
KIT0198,368.04
NR5388,365.81
NR2276,363.90000000000003
NR5560,357.25
NR1296-2,346.53
NR3638,340.77
NR2995-1,340.44
KIT0164,337.05
NR2174,336.84
NR4288,335.71
NR4710,327.57
KIT0120,325.93
GB3999,325.15
NR0078,320.45
NR5678,309.52
NR5377,307.69
NR3742,307.68
NR2900,307.36
NR1681,302.69
NR2993,297.6
NR0599-1,297.09000000000003
NR1582,290.54
NR1687,286.57
NR5101,286.24
NR0560,276.40000000000003
NR3784,265.13
NR3470,261.84
NR2761-1,257.57
NR5234,256.0
NR5359,247.92
NR3208-2,247.89999999999998
NR4623,245.97
NR2710,244.47
NR1162,243.45
NR0284-1,242.51
NR5467,241.77
NR3016,241.4
NR3219,241.03
NR4082,240.92000000000002
KIT0079,240.38
GB4985,238.76
NR5306,237.59
NR1930,237.07
KIT0030,236.64
NR1283,235.07
NR1597,234.21
KIT0482,232.5
NR1006,231.61
NR5367,231.39
NR4189,231.28
NR0212-2,230.36
NR2343,230.22
NR3837,229.32
NR2769-1,227.58
NR5250,226.27
NR5104,224.99
KIT0446,224.95
NR4354,223.14
NR2508,223.1
NR1899,222.47
NR5497,221.3
NR4337,220.91000000000003
NR3860,218.88
NR3519-2,215.29000000000002
NR3606,213.78
NR3265,212.32
NR1708,211.87
GB4750,209.98
NR2104-1,207.34
NR4323,206.76000000000002
NR0708-1,206.46
NR1412,203.81
NR0955-1,199.36
NR5481,198.62
NR4875,198.23
KIT0040,194.84
KIT0270,193.84
NR4262,193.64
NR5347,193.0
NR1927,192.38
NR3450,191.91
NR3508-2,189.83
NR2720,189.75
NR2602,187.24
NR1928,186.76
KIT0396,186.63
CP1519,185.91
NR4553,184.98
NR0042-1,184.64
KIT0467-2,182.7
KIT0352,182.64
NR1879,182.56
NR2583-2,181.24
NR5218,180.87
NR4719,180.39
NR3988,179.9
NR2761-2,179.8
KIT0439,179.15
NR0390,178.0
NR2875,177.31
KIT0016,175.39
KIT0444,174.8
KIT0063,173.94
NR1234,169.88
NR2494,168.94
KIT0035,168.67
NR4214,166.68
NR3243-5,166.67000000000002
NR5230,165.57
NR4312,164.56
NR0377,164.2
NR5592,164.11
NR2492,163.99
NR3007-1,163.26
NR3208-1,163.14999999999998
NR0283-2,162.71
NR5563,161.68
NR4158,157.92000000000002
NR5443-1,157.7
NR2442,156.42000000000002
NR4616,156.14
NR1458,155.32
NR5232,155.07
NR1682,154.9
NR2825,154.46
NR2238,153.13
NR4377,153.07
NR5047,152.82
NR4309,152.82
NR4534,152.51
NR5050,151.92
KIT0131,150.21
NR4096,149.28
NR3743,149.0
NR3520-2,148.56
NR4755-1,147.71
LD51-2,145.55
NR2215-1,143.45
NR5268,143.26
NR3672,143.04
NR4455,141.95
NR0986,141.63
NR3907,141.21
NR4197,140.4
NR5075-2,140.2
NR4200,139.9
KIT0317,139.77
KIT0036,139.2
NR3669,138.93
NR3391,138.89000000000001
NR2986,138.46
NR4466,138.32
NR4099,137.82
NR0222,137.63
KIT0430,137.19
NR4291,136.93
NR4074,135.78
NR4934,135.24
KIT0496,134.72
CP1040,133.14
NR4642,132.26
NR1082-1,132.2
NR0319,131.1
CP1510,131.04
NR1988-1,129.65
NR3110,129.48
NR1389,128.54000000000002
NR1108,128.23000000000002
NR4565-2,127.55
NR5346,126.75
NR5404-2,126.72
NR4319-1,126.6
NR1327,125.92
NR5233,124.55
NR4615,124.14
NR2588,122.23
CP1457,122.11
NR5525,121.75
NR0284-2,120.47999999999999
CP0812,118.73
NR2406,118.48
NR4069,118.32
NR1347,117.53999999999999
NR4960,117.52
NR4974-2,116.96
KIT0195,116.52
KIT0187,115.31
NR1484,115.1
CP1517,114.51
NR1812-2,114.4
NR5263,113.57
NR3639,113.37
NR3645,113.31
NR4492,112.69
CP0549,111.01
NR1812-1,110.83
NR2758-1,110.5
NR0867,110.27
NR4967,110.22
NR0021,108.08
NR5307,108.00999999999999
NR5500,106.09
NR1384,105.45
CP1534,105.23
NR4704,102.96
KIT0344,102.92
NR2172,102.6
NR4242-2,102.18
NR5057,101.77
NR0517,101.76
KIT0289-2,100.82
NR3186,99.66
NR1280,99.48
NR5271,97.53
KIT0029,96.22
NR2216,96.13
NR4474,95.36000000000001
NR4440,94.83
NR3673,94.44
NR2621,94.04
NR3824,93.30000000000001
NR2991,93.22
NR4667,92.88
NR3117,92.53999999999999
NR5518,92.5
NR2692,91.77000000000001
NR4040,91.36
NR5410-1,90.82
NR4578-1,89.12
NR3103,88.97
NR0538-1,88.8
CP1466,88.4
NR4975-2,88.34
NR4975-1,88.34
NR0910,88.11
CP1430,87.25
NR0524,87.15
NR2717-1,85.68
NR3566,85.6
NR1661,85.6
NR5286,85.11
NR3718-2,84.84
NR3602,84.63
NR2412,84.04
NR4187,83.74
KIT0134,83.6
NR0952,82.5
KIT0269,82.28999999999999
CP1484,81.55
KIT0367,81.39
NR1456-1,80.11
NR4075,79.67
NR5483,79.16
NR4159,77.65
KIT0506,77.41
NR5409,77.01
NR1811-2,76.91
NR4144,75.13
NR3459-1,74.58
NR4995,73.66
NR3965,73.66
NR3392,72.78
NR2751,72.64
CPP1299,72.64
NR3986,72.02
NR5356,69.94
NR4499,69.05
NR1126-1F,68.28
KIT0440,67.84
NR3946,67.8
NR0058,67.75
NR3576,67.71000000000001
NR1555,67.26
NR3661,65.88
NR3402,65.76
NR3631,65.66
NR3504-2,64.15
NR4473,63.78
NR3362,63.63
KIT0416,63.47
NR3302,63.34
NR1749-2,63.26
CP0313,63.26
NR4481,62.64
NR4044,62.47
NR2383,62.47
NR5018,62.37
NR3212-2,61.48
NR4461,60.379999999999995
NR4001,60.32
NR4371-4,59.75
NR4518,59.7
NR0607,59.61
NR1392,59.47
KIT0184,58.120000000000005
NR3212-1,58.06
NR0676,57.24
NR4294,56.93
NR1138,56.84
NR3526,55.84
NR3629-2,55.83
NR4319-2,55.82
NR0931,55.59
NR0934,54.72
NR2587,54.21
KIT0263,53.11
KIT0369,52.84
NR4463,52.61
NR5314,52.52
NR4520-1,52.05
NR0607-1F,51.64
NR3805,51.3
NR4888,51.29
KIT0204,51.29
NR4726,50.64
NR5042,50.15
NR1679,49.76
NR2528,49.65
NR2756,49.02
NR4886-1,48.28
NR2895,48.25
NR0491,47.879999999999995
NR1267,47.51
NR1807,47.24
NR4458,45.83
NR0516,45.480000000000004
NR1293-2,45.38
NR4297,45.3
NR4303,45.28
NR4945,45.14
NR3065,45.08
KIT0433,43.69
NR5185,43.38
NR3846,42.79
NR2020,41.9
NR1293-1,41.76
NR3772,41.15
NR3718-1,41.15
NR1470,40.98
NR0142,39.97
NR4307,39.51
NR1431,39.32
NR3465,39.25
CP1435,38.61
NR0564,38.42
NR3809,38.19
NR2208,38.19
NR0463,37.7
NR3243-1,36.85
NR3949,36.56
NR4480,36.18
NR3545-2,35.9
KIT0082,35.78
LD50,35.68
NR5398,35.25
NR4454,34.86
NR3607,34.82
NR3842,34.64
NR2858,34.64
NR3864,34.54
NR4491,34.26
NR4482,34.02
NR3640,33.95
NR2715,33.79
NR4924,33.36
NR3923,33.22
NR2943,33.22
NR4004,33.17
NR3423,32.94
NR1126,32.36
KIT0027,32.29
NR5382,32.07
NR0281,31.990000000000002
NR2795,30.06
NR5433,29.94
NR3650,29.83
KIT0351,29.589999999999996
NR4510,29.189999999999998
NR1923,28.4
NR0916,27.8
CPP1191,27.29
KIT0405,27.14
NR0612,27.13
NR4401,27.03
NR1546,26.92
NR2787,26.68
NR5407,26.27
NR1082-2,26.26
NR5236,26.18
NR1915,25.81
NR2398,25.45
KIT0424,25.1
NR4465,25.08
NR3970,25.05
NR1680,23.65
CPP0562,23.36
NR4574,23.31
NR5644,22.84
NR4486,22.5
KIT0199,22.14
NR5210,21.11
NR3089,21.11
NR3135,20.26
NR4922,20.199999999999996
NR0994,19.94
NR2810,19.8
NR0820,19.66
NR4813,19.5
NR5201,19.49
NR5063,19.26
NR3128,18.22
NR1072,18.05
NR3472,17.61
NR1174,17.36
NR3908,15.7
NR4485,15.44
NR4089,14.96
NR4494,13.75
NR0758,13.63
NR1869-1,12.69
NR5468,12.44
NR2079,12.3
NR1114,12.3
NR4517,12.18
NR4471,12.07
NR4529-1,11.85
NR4498,11.8
NR4489,11.25
NR4487,11.25
NR3236,11.25
NR4490,11.21
NR4528-1,11.02
NR4213,9.230000000000004
kit0368,0.0
QUEIMA,0.0
NR5635,0.0
NR5527,0.0
NR5523-2,0.0
NR5426,0.0
NR5399,0.0
NR5276,0.0
NR5164,0.0
NR4907,0.0
NR4807,0.0
NR4531,0.0
NR4333-2,0.0
NR4283,0.0
NR4061,0.0
NR3857,0.0
NR3804,0.0
NR3752,0.0
NR3593,0.0
NR3271,0.0
NR3193,0.0
NR2721,0.0
NR2421-1,0.0
NR2183,0.0
NR2125,0.0
NR1800,0.0
NR1749-1,0.0
NR1216,0.0
NR1100-C,0.0
KIT0437-1,0.0
KIT0354,0.0
KIT0340,0.0
CPP0340,0.0
NR3977,-9.9
NR0212-1,-15.96
NR1175,-37.89
NR5172,-43.2
NR3733,-66.1
CP0243,-67.35
NR3692-2,-68.0
NR1210,-68.0
KIT0154,-133.35
